Sale,Seller.OwnerID,Buyer.OwnerID,Cost,Day,Month,Year,,
,3,GMC,,,,,,
,4,Chevrolet,,,,,,
,5,Buick,,,,,,
,6,Cadillac,,,,,,
,6,Buick,,,,,,
,7,Buick,,,,,,
,8,Cadillac,,,,,,
,9,Chevrolet,,,,,,
,10,Chevrolet,,,,,,
,10,GMC,,,,,,
